file,label,entropy,laplacian_variance,hf_energy_ratio,spectral_slope,noise_entropy,gradient_variance,edge_density,color_uniformity,saturation_mean,dct_energy_ratio
000000000139.png,0,7.259299,447.217166,0.006037,3.637528,4.428532,5011.1391,0.059223,42.554316,0.474851,0.000118
000000000285.png,0,7.891303,3644.303472,0.017145,2.459114,6.060126,8361.71214,0.225815,71.084009,0.510931,0.001555
000000000632.png,0,7.323635,3270.563868,0.058014,2.431385,5.566218,12192.817086,0.154655,35.89148,0.380757,0.006437
000000000724.png,0,7.359424,867.991961,0.022284,4.11469,4.910376,13299.633193,0.105976,49.493772,0.239156,0.000353
000000000776.png,0,7.274259,2159.198803,0.036978,2.744495,5.781649,6537.268791,0.192554,31.901977,0.654278,0.001683
000000000785.png,0,6.330194,899.871362,0.004769,3.599987,4.06587,11056.047253,0.036827,59.477096,0.092789,0.000104
000000000802.png,0,7.335841,404.202289,0.006656,3.370448,3.960019,4522.753726,0.049648,44.503536,0.306176,2.9e-05
000000000872.png,0,7.703337,3707.703472,0.020364,2.531035,5.523829,11332.047806,0.166634,67.068611,0.308313,0.000282
000000000885.png,0,6.344346,362.90005,0.011442,3.813965,3.741833,7047.308844,0.045677,47.931033,0.448036,0.000497
000000001000.png,0,7.841147,3661.006751,0.027348,2.608961,5.340118,14813.425484,0.167442,53.122166,0.426823,0.002557
000000001268.png,0,7.371074,2072.844696,0.033196,3.360307,5.147012,20935.998943,0.106953,68.853566,0.186099,0.000228
000000001296.png,0,7.84627,487.708782,0.008901,4.019687,4.13687,9538.583221,0.06477,61.618152,0.352623,7.9e-05
000000001353.png,0,7.01913,87.433689,0.0076,4.240195,4.155641,2235.018036,0.029007,36.791659,0.791478,1.6e-05
000000001425.png,0,7.492146,466.991672,0.00456,3.200944,3.777216,5465.371225,0.05378,68.624631,0.0,0.000697
000000001490.png,0,6.469309,661.260081,0.009896,4.070492,5.873926,7416.18892,0.19733,42.696317,0.0,1.7e-05
000000001503.png,0,7.485725,76.800442,0.003846,4.460796,5.034795,3979.223916,0.044487,45.716764,0.109212,0.0
000000001532.png,0,6.71953,586.854175,0.006287,3.316869,4.550526,6343.635026,0.05949,55.293241,0.197396,0.000107
000000001584.png,0,7.475019,402.243251,0.009265,3.777664,4.370596,6135.181283,0.079662,48.770904,0.319458,0.000413
000000001675.png,0,7.511209,1499.503657,0.015754,3.154731,4.642255,12609.589104,0.085415,78.10264,0.146651,0.006142
000000001761.png,0,6.105089,1201.837559,0.006524,3.56197,3.105639,17145.28575,0.040951,48.104873,0.048211,0.0
000000001818.png,0,7.430316,4486.609509,0.038792,3.335694,6.08098,30764.127487,0.231396,74.465458,0.050814,0.001355
000000001993.png,0,7.802568,663.796637,0.007884,3.663371,4.927926,6802.922622,0.078247,69.15369,0.185938,2.2e-05
000000002006.png,0,7.434084,1270.380782,0.015982,3.268281,5.332431,12011.492474,0.127773,45.821014,0.22137,0.000226
000000002149.png,0,7.452795,40.115521,0.002533,3.977679,3.351505,1009.481611,0.010803,60.229447,0.773903,5e-06
000000002153.png,0,6.670544,946.904023,0.015565,2.885217,5.115993,4929.77278,0.078243,25.299122,0.356723,0.000589
000000002157.png,0,7.662351,857.596291,0.016453,3.561819,4.630708,9601.447677,0.1021,48.083441,0.454621,2.3e-05
000000002261.png,0,7.122824,1005.506661,0.006809,3.28439,5.455809,5911.580841,0.144577,36.419953,0.214418,0.000402
000000002299.png,0,7.527417,1242.406342,0.030468,4.348848,5.958622,22650.028606,0.206013,65.072938,0.0,1.1e-05
000000002431.png,0,7.601972,344.41203,0.005362,3.680473,4.311378,5611.619267,0.061954,44.683253,0.203785,0.00015
000000002473.png,0,6.041818,1361.785386,0.01283,3.159637,3.73721,10189.284258,0.083252,54.154196,0.480599,0.000317
000000002532.png,0,7.787337,2973.659908,0.017282,2.814924,4.732326,17613.108881,0.113678,55.333286,0.353427,0.000991
000000002587.png,0,7.228816,282.398014,0.005881,3.962397,4.454583,3336.200105,0.041996,42.845914,0.476645,8.5e-05
000000002592.png,0,7.6766,7403.777291,0.05281,3.346256,6.258401,37908.930912,0.193771,40.398338,0.125394,0.000424
